escenario,minuto,es_hora_pico,velocidad_media_kmh_mean,velocidad_media_kmh_std,velocidad_media_kmh_min,velocidad_media_kmh_max,pct_ruta_directa_mean,pct_ruta_directa_std,pct_ruta_directa_min,pct_ruta_directa_max,pct_reroutean_mean,pct_reroutean_std,pct_reroutean_min,pct_reroutean_max,pct_metro_mean,pct_metro_std,pct_metro_min,pct_metro_max,modal_shift_acum_mean,modal_shift_acum_std,modal_shift_acum_min,modal_shift_acum_max,recaudacion_acum_usd_mean,recaudacion_acum_usd_std,recaudacion_acum_usd_min,recaudacion_acum_usd_max,directo_nse_bajo_corr_mean,directo_nse_bajo_corr_std,directo_nse_bajo_corr_min,directo_nse_bajo_corr_max,pct_metro_bajo_corr_mean,pct_metro_bajo_corr_std,pct_metro_bajo_corr_min,pct_metro_bajo_corr_max
E0,375,False,35.6,,35.6,35.6,82.0,,82.0,82.0,9.3,,9.3,9.3,8.7,,8.7,8.7,324.0,,324,324,0.0,,0.0,0.0,89.0,,89,89,14.414414414414415,,14.414414414414415,14.414414414414415
E0,390,False,35.7,,35.7,35.7,81.0,,81.0,81.0,9.3,,9.3,9.3,9.7,,9.7,9.7,803.0,,803,803,0.0,,0.0,0.0,89.0,,89,89,14.414414414414415,,14.414414414414415,14.414414414414415
E0,405,False,36.1,,36.1,36.1,82.7,,82.7,82.7,9.3,,9.3,9.3,8.0,,8.0,8.0,1287.0,,1287,1287,0.0,,0.0,0.0,91.0,,91,91,12.612612612612612,,12.612612612612612,12.612612612612612
E0,420,True,36.0,,36.0,36.0,82.3,,82.3,82.3,9.3,,9.3,9.3,8.3,,8.3,8.3,1772.0,,1772,1772,0.0,,0.0,0.0,91.0,,91,91,12.612612612612612,,12.612612612612612,12.612612612612612
E0,435,True,36.1,,36.1,36.1,83.7,,83.7,83.7,7.9,,7.9,7.9,8.4,,8.4,8.4,2272.0,,2272,2272,0.0,,0.0,0.0,113.0,,113,113,12.5,,12.5,12.5
E0,450,True,34.5,,34.5,34.5,84.8,,84.8,84.8,6.9,,6.9,6.9,8.3,,8.3,8.3,2840.0,,2840,2840,0.0,,0.0,0.0,131.0,,131,131,13.20754716981132,,13.20754716981132,13.20754716981132
E0,465,True,34.6,,34.6,34.6,84.3,,84.3,84.3,7.4,,7.4,7.4,8.4,,8.4,8.4,3498.0,,3498,3498,0.0,,0.0,0.0,156.0,,156,156,11.229946524064172,,11.229946524064172,11.229946524064172
E0,480,True,34.0,,34.0,34.0,84.0,,84.0,84.0,7.2,,7.2,7.2,8.8,,8.8,8.8,4292.0,,4292,4292,0.0,,0.0,0.0,177.0,,177,177,13.24200913242009,,13.24200913242009,13.24200913242009
E0,495,True,33.5,,33.5,33.5,83.4,,83.4,83.4,7.5,,7.5,7.5,9.1,,9.1,9.1,5194.0,,5194,5194,0.0,,0.0,0.0,194.0,,194,194,12.184873949579831,,12.184873949579831,12.184873949579831
E0,510,True,33.4,,33.4,33.4,83.3,,83.3,83.3,7.5,,7.5,7.5,9.2,,9.2,9.2,6155.0,,6155,6155,0.0,,0.0,0.0,214.0,,214,214,11.83206106870229,,11.83206106870229,11.83206106870229
