escenario,minuto,hora,es_hora_pico,nb_conductores,velocidad_media_kmh,pct_ruta_directa,pct_reroutean,pct_metro,modal_shift_acum,nb_restringidos_placa,directo_nse_alto,directo_nse_medio,directo_nse_bajo,metro_nse_alto,metro_nse_medio,metro_nse_bajo,rerouta_nse_alto,rerouta_nse_medio,rerouta_nse_bajo
E0,375,6:15,false,300,35.6,82.0,9.3,8.7,324,66,44,101,101,3,7,16,5,17,6
E0,390,6:30,false,300,35.7,81.0,9.3,9.7,803,66,43,99,101,4,9,16,5,17,6
E0,405,6:45,false,300,36.1,82.7,9.3,8.0,1287,66,44,101,103,3,7,14,5,17,6
E0,420,7:00,true,300,36.0,82.3,9.3,8.3,1772,66,44,100,103,3,8,14,5,17,6
E0,435,7:15,true,367,36.1,83.7,7.9,8.4,2272,73,54,125,128,5,9,17,5,18,6
E0,450,7:30,true,435,34.5,84.8,6.9,8.3,2840,84,65,155,149,3,12,21,5,18,7
E0,465,7:45,true,502,34.6,84.3,7.4,8.4,3498,98,72,174,177,8,13,21,6,21,10
E0,480,8:00,true,570,34.0,84.0,7.2,8.8,4292,112,83,195,201,9,12,29,7,21,13
E0,495,8:15,true,637,33.5,83.4,7.5,9.1,5194,125,94,217,220,10,19,29,8,25,15
E0,510,8:30,true,705,33.4,83.3,7.5,9.2,6155,142,103,241,243,13,21,31,9,27,17
E0,525,8:45,true,772,34.1,83.3,7.9,8.8,7231,160,114,265,264,10,21,37,10,29,22
E0,540,9:00,true,840,32.2,83.2,7.5,9.3,8412,174,116,289,294,15,25,38,10,29,24
E0,555,9:15,true,907,32.1,83.6,7.3,9.2,9756,185,130,312,316,12,25,46,10,31,25
E0,570,9:30,true,975,32.9,83.5,7.1,9.4,11190,194,137,338,339,16,26,50,11,32,26
E0,585,9:45,true,1042,31.7,83.1,7.3,9.6,12625,207,145,361,360,17,31,52,12,34,30
E0,600,10:00,true,1110,31.2,82.3,7.8,9.8,14142,224,140,387,387,20,34,55,18,37,32
E0,615,10:15,false,1114,31.5,82.3,7.7,10.0,15651,224,139,391,387,22,32,57,17,37,32
E0,630,10:30,false,1114,31.9,82.9,7.5,9.6,17178,224,147,387,390,17,36,54,14,37,32
E0,645,10:45,false,1114,30.7,82.9,7.5,9.7,18661,224,145,389,389,19,34,55,14,37,32
E0,660,11:00,false,1114,31.5,82.4,7.5,10.1,20165,224,144,387,387,20,36,57,14,37,32
E0,675,11:15,false,1114,32.1,82.6,7.5,9.9,21690,224,145,385,390,18,38,54,15,37,32
E0,690,11:30,false,1114,32.5,82.2,7.8,10.0,23215,224,138,389,389,22,34,55,18,37,32
E0,705,11:45,false,1114,31.2,83.1,7.5,9.3,24738,224,146,390,390,17,33,54,15,37,32
E0,720,12:00,false,1114,30.4,83.1,7.5,9.4,26244,224,148,388,390,16,35,54,14,37,32
E0,735,12:15,false,1114,31.4,82.6,7.7,9.7,27751,224,142,387,391,19,36,53,17,37,32
E0,750,12:30,false,1114,31.1,82.4,7.5,10.1,29265,224,145,385,388,18,38,56,15,37,32
E0,765,12:45,false,1114,32.0,82.5,7.5,10.1,30781,224,142,387,390,22,36,54,14,37,32
E0,780,13:00,false,1114,32.1,82.8,7.8,9.4,32273,224,137,389,396,23,34,48,18,37,32
E0,795,13:15,false,1114,30.9,83.2,7.5,9.2,33797,224,143,395,389,20,28,55,15,37,32
E0,810,13:30,false,1114,31.9,82.4,7.6,10.0,35308,224,143,388,387,19,35,57,16,37,32
E0,825,13:45,false,1114,31.6,83.2,7.5,9.3,36808,224,145,388,394,19,35,50,14,37,32
E0,840,14:00,false,1114,31.8,83.1,7.5,9.4,38277,224,145,388,393,19,35,51,14,37,32
E0,855,14:15,false,1114,31.8,83.1,7.6,9.2,39811,224,147,388,391,15,35,53,16,37,32
E0,870,14:30,false,1114,31.8,83.3,7.5,9.2,41335,224,147,390,391,17,33,53,14,37,32
E0,885,14:45,false,1114,31.2,83.5,7.5,9.1,42808,224,147,390,393,17,33,51,14,37,32
E0,900,15:00,false,1114,31.0,83.2,7.5,9.2,44331,224,147,389,391,16,34,53,15,37,32
E0,915,15:15,false,1114,31.3,83.4,7.5,9.2,45841,224,149,389,391,15,34,53,14,37,32
E0,930,15:30,false,1114,30.4,82.4,7.5,10.1,47317,224,144,387,387,19,36,57,15,37,32
E0,945,15:45,false,1114,32.1,82.4,7.7,9.9,48830,224,143,390,385,18,33,59,17,37,32
E0,960,16:00,false,1114,30.9,83.0,7.6,9.3,50347,224,147,389,389,15,34,55,16,37,32
E0,975,16:15,false,1114,31.7,83.1,7.5,9.4,51862,224,148,391,387,16,32,57,14,37,32
E0,990,16:30,false,1114,31.0,82.5,7.6,9.9,53363,224,142,388,389,20,35,55,16,37,32
E0,1005,16:45,false,1114,31.2,83.2,7.5,9.3,54871,224,145,391,391,19,32,53,14,37,32
E0,1020,17:00,true,1114,31.3,82.8,7.6,9.6,56379,224,143,388,391,20,34,53,15,38,32
E0,1035,17:15,true,1181,31.1,83.7,7.8,8.6,57903,236,153,417,418,16,33,52,20,40,32
E0,1050,17:30,true,1249,30.3,82.5,7.9,9.6,59407,248,153,444,433,24,37,59,23,41,35
E0,1065,17:45,true,1316,30.8,83.1,7.6,9.3,60913,265,168,473,453,20,40,62,21,44,35
E0,1080,18:00,true,1384,29.1,83.0,7.7,9.2,62490,278,177,495,477,23,43,62,24,47,36
E0,1095,18:15,true,1451,28.8,83.0,7.1,9.9,64106,288,185,516,503,29,50,65,18,48,37
E0,1110,18:30,true,1519,29.2,81.7,7.5,10.8,65736,304,183,535,523,36,56,72,25,51,38
E0,1125,18:45,true,1586,28.0,80.7,7.9,11.4,67388,320,181,553,546,39,68,74,31,55,39
E0,1140,19:00,true,1654,28.3,80.5,8.2,11.2,69063,334,180,586,566,44,65,77,37,58,41
E0,1155,19:15,true,1721,28.1,79.4,8.7,12.0,70825,347,180,600,586,50,77,79,43,63,43
E0,1170,19:30,true,1789,27.7,80.3,8.3,11.5,72609,361,198,628,610,47,76,82,36,67,45
E0,1185,19:45,true,1856,28.2,78.4,8.5,13.1,74409,376,198,620,637,60,94,89,35,76,47
E0,1200,20:00,true,1924,27.8,77.9,9.4,12.8,76209,386,193,642,663,58,99,89,47,81,52
E0,1215,20:15,false,1928,26.3,85.6,6.2,8.1,77827,0,178,696,777,68,75,14,52,55,13
E0,1230,20:30,false,1928,26.2,89.1,4.7,6.2,79153,0,191,732,795,60,56,4,47,38,5
E0,1245,20:45,false,1928,27.2,84.8,6.1,9.1,80403,0,176,664,795,78,92,5,44,70,4
E0,1260,21:00,false,1928,26.5,86.2,5.8,8.0,81709,0,188,678,795,69,81,5,41,67,4
E0,1275,21:15,false,1928,26.9,85.4,5.9,8.7,82956,0,188,688,771,65,82,21,45,56,12
E0,1290,21:30,false,1928,26.7,86.6,5.8,7.6,84319,0,162,705,803,78,67,1,58,54,0
E0,1305,21:45,false,1928,26.1,88.5,4.6,7.0,85525,0,184,719,803,73,61,0,41,46,1
E0,1320,22:00,false,1928,26.3,84.6,6.2,9.2,86744,0,183,651,797,72,101,5,43,74,2
