escenario,minuto,hora,es_hora_pico,tarifa_vigente_usd,nb_conductores,velocidad_media_kmh,pct_ruta_directa,pct_reroutean,pct_metro,modal_shift_acum,recaudacion_acum_usd,nb_restringidos_placa,directo_nse_alto,directo_nse_medio,directo_nse_bajo,metro_nse_alto,metro_nse_medio,metro_nse_bajo,rerouta_nse_alto,rerouta_nse_medio,rerouta_nse_bajo,recaud_auto,recaud_suv,recaud_carga,pagos_auto,pagos_suv,pagos_carga
EB,375,6:15,false,0.0,300,35.0,100.0,0.0,0.0,0,0.0,71,45,125,130,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
EB,390,6:30,false,0.0,300,36.0,100.0,0.0,0.0,0,0.0,71,45,125,130,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
EB,405,6:45,false,0.0,300,35.0,100.0,0.0,0.0,0,0.0,71,45,125,130,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
EB,420,7:00,true,0.0,300,35.8,100.0,0.0,0.0,0,0.0,71,45,125,130,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
EB,435,7:15,true,2.0,367,35.7,68.7,15.8,15.5,836,472.0,80,45,106,101,6,26,25,3,24,31,202.0,171.0,99.0,101,57,33
EB,450,7:30,true,2.0,435,35.3,61.8,19.8,18.4,2183,1021.0,95,47,121,101,8,36,36,4,41,41,436.0,384.0,201.0,218,128,67
EB,465,7:45,true,2.0,502,34.5,69.7,16.7,13.5,3534,1614.0,111,59,150,141,5,35,28,5,41,38,648.0,630.0,336.0,324,210,112
EB,480,8:00,true,2.0,570,34.7,69.6,17.2,13.2,5053,2294.0,123,62,186,149,10,28,37,5,43,50,884.0,912.0,498.0,442,304,166
EB,495,8:15,true,2.0,637,35.0,66.7,17.4,15.9,6537,2911.0,132,71,183,171,6,50,45,6,53,52,1090.0,1134.0,687.0,545,378,229
EB,510,8:30,true,2.25,705,32.9,65.8,18.4,15.7,8188,3464.75,149,68,200,196,11,52,48,14,61,55,1337.75,1311.0,816.0,664,437,272
EB,525,8:45,true,2.5,772,34.0,67.2,18.0,14.8,9742,3832.25,164,76,232,211,11,45,58,13,62,64,1705.25,1311.0,816.0,811,437,272
EB,540,9:00,true,2.5,840,32.2,67.5,18.0,14.5,11447,4209.75,188,88,250,229,11,53,58,12,67,72,2082.75,1311.0,816.0,962,437,272
EB,555,9:15,true,3.0,907,32.3,66.8,18.0,15.2,13160,4610.75,203,95,271,240,12,59,67,14,65,84,2483.75,1311.0,816.0,1104,437,272
EB,570,9:30,true,3.0,975,32.9,66.9,17.9,15.2,14950,4973.75,218,101,289,262,17,63,68,18,73,84,2846.75,1311.0,816.0,1225,437,272
